gene,mean_tpm,std_tpm,cv
MIR4501,2.951513402061856,29.069035797002677,9.848857801796106
AC093416.1,1.044783505154639,10.289924175930148,9.848857801796106
RN7SL266P,2.365714432989691,23.286190275063372,9.84319575953014
RNA5-8SP5,3.6990505154639175,36.405967848675246,9.841976392720168
MIR3144,2.164412371134021,21.25661624738018,9.820964124430226
AL358053.1,1.0925494845360824,10.720292796540935,9.81218054493246
CFTR-AS1,1.3515350515463915,13.26002697057684,9.811086257367176
RNU4-56P,1.775687628865979,17.39049494330678,9.793667906788878
RPS27AP14,1.1332546391752578,11.096155106978692,9.791404970602262
RTL1,2.9516082474226804,28.825779861377526,9.766126614718589
AC034234.1,2.065283505154639,20.135849307876654,9.749678074521286
FAM204CP,1.0831536082474227,10.512817131235781,9.705749074912704
RN7SL98P,1.7482618556701035,16.964928856893778,9.703883203692717
AC000111.2,1.1428505154639175,11.08823865592055,9.702265087065651
MIR577,1.0786701030927834,10.460167473953723,9.697281350398173
RNA5-8SN1,1.6333010309278349,15.81700143966595,9.68406995413499
AC078955.1,1.7207298969072164,16.624633039885953,9.661384433295733
AC025038.1,2.447114432989691,23.61319101206106,9.649402044191424
SULT1C3,1.5828628865979382,15.236821268670177,9.626115690550316
FP236383.5,1.166718556701031,11.218648210850484,9.615556507965303
MIR618,2.1142958762886597,20.325015804826357,9.613136946804238
AC004467.1,1.5553639175257734,14.863099128309527,9.55602670271103
SCARNA5,246.8786701030928,2357.5037725754537,9.549240408622566
SNORD17,394.0577195876286,3762.085048835558,9.547040603017459
AC000061.1,1.596040206185567,15.235211264210859,9.545631247361888
MIR548AX,2.4582783505154637,23.44908917226862,9.538825889001423
RNU7-119P,1.2063092783505154,11.496288549155064,9.530133569788067
MIR4439,1.4897731958762888,14.196724480958009,9.529453557262759
SNORA73B,510.69801340206186,4865.715740138737,9.527579141585695
PLAC4,3.921814432989691,37.36001003800162,9.526205453204273
SCARNA6,109.40823195876288,1040.1460766166606,9.50701842077754
RNA5SP179,1.0189649484536083,9.657565103047038,9.477818758833125
RN7SL164P,1.3657257731958763,12.934909536931428,9.47108840646904
AC073651.1,3.742854639175258,35.42806421898588,9.465519672650844
RNU2-53P,1.029898969072165,9.740470375668197,9.457695044052116
AC084048.1,3.236735051546391,30.60092628506815,9.454257391394508
YWHAQP4,1.0545082474226803,9.969502122271349,9.45417178731202
MAGI1-AS1,1.8151020618556701,17.15386554118937,9.450634155333452
AC016831.4,2.29190412371134,21.646346191851475,9.444699700962614
EIF4E2P1,1.3333608247422681,12.590032823623122,9.442329930502279
AP005059.1,1.8385701030927835,17.359438853114874,9.441815040891496
AC108159.1,2.712639175257732,25.61080911955828,9.44128852563849
IGHD2-8,4.419372164948453,41.71244233464134,9.438544837992358
RN7SL220P,3.8781731958762884,36.46441152986965,9.402471134771064
MAP1LC3P,1.018217525773196,9.524555742144118,9.354146340106972
PGC,3.049359793814433,28.44981885358506,9.329767812671685
MIR603,1.0190030927835052,9.502664960611636,9.325452521104907
NDUFB4P2,2.0174886597938144,18.81263389832125,9.32477801399086
RNU6-251P,2.6150536082474227,24.36756679069478,9.318190156348507
AC008833.1,1.0289309278350516,9.57408321904941,9.304884283334747
MIR4699,1.602519587628866,14.901606979622471,9.298861052719683
RLIMP1,1.7997927835051544,16.72845647385795,9.294656933382488
RN7SL277P,4.452880412371133,41.30486810772036,9.275988637145042
AC004160.2,1.0608731958762887,9.8197726525736,9.256311395880259
AC106827.1,1.0189474226804125,9.429996201749997,9.254644539895624
LINC02167,4.564,42.22308679283171,9.251333653118254
LINC02006,2.6277999999999997,24.29432995953394,9.24512137892303
PAEP,17.1150206185567,158.12318401409124,9.238854427242034
AC234772.1,4.311051546391753,39.827921596240415,9.238563066956466
AC058791.1,2.497058762886598,23.05950034953396,9.234664675202595
RN7SL606P,1.152535051546392,10.59878677914601,9.196064592504403
RN7SL546P,1.3587793814432991,12.483529490492147,9.187311539296473
RNA5-8SP6,1.7209175257731961,15.803209877736668,9.183014084673463
RNVU1-2,3.834136082474226,35.17647553056643,9.17455060902964
MIR920,1.892181443298969,17.333882010454566,9.160792730444177
MIR4317,2.4341288659793814,22.278726752058972,9.152648844289942
AL713998.1,1.889921649484536,17.292172434841646,9.149676887165125
AP001318.3,2.038953608247423,18.63094559990661,9.137503435363
AC100763.1,1.0461659793814433,9.52079238653361,9.100651879506614
SNORA11B,1.379162886597938,12.498516503847231,9.062393300531784
S100G,11.623560824742267,105.18156497061061,9.048996822618927
MFFP1,2.2813680412371133,20.62077773121863,9.038777329429337
RNU1-88P,3.510475257731959,31.65499297710602,9.017295566286833
AC090571.1,3.1174402061855666,28.10580723580041,9.01566842566327
RNU6-402P,1.2402907216494845,11.181259164530271,9.015030887000522
H4C3,13.109798969072171,118.06056847135221,9.005520889364773
MIR3161,2.169689690721649,19.442559611656314,8.960986308226236
H1-5,1.4437670103092786,12.935455110677733,8.959517026162516
PTPRJ-AS1,3.6147319587628868,32.35528542502287,8.9509501103081
MAGI1-IT1,1.2271865979381442,10.95629503344642,8.927978069394355
MMADHCP2,1.1447556701030928,10.191052920934384,8.902382566942528
AC008873.1,1.1127051546391753,9.894620673000928,8.892401218550592
SNORD116,1.779636082474227,15.823997257114387,8.891703991028487
SIM1-AS1,1.0384865979381444,9.219779477327409,8.878091923027945
SNORA74A,20.39640927835051,181.05067157487647,8.87659534107556
APOA2,7.105179381443298,62.84253054968349,8.84460858424071
IGLV7-46,181.43962164948454,1599.5934135973189,8.816119649364708
