gene,mean_tpm,std_tpm,cv
RNU6-837P,1.1147397959183674,11.0353609653334,9.899494936611665
MIR7978,1.0070204081632654,9.968993431676854,9.89949493661166
MIR6724-2,1.3514602040816326,13.321487751522616,9.85710693610476
LINC02385,2.92335306122449,28.77259249449498,9.842325539168078
AC112495.1,2.7248897959183678,26.81479220437119,9.840688693002287
AC245291.3,1.9738510204081636,19.35249074034404,9.80443333374888
SPRR2G,6.749660204081635,66.04493242777706,9.784927008301626
MSTN,19.37124897959184,189.3490982510082,9.774749085641966
AC092110.1,1.0300591836734694,10.067350117217877,9.773564739566698
INS,2.040661224489796,19.85001889285051,9.727248528384907
WFDC5,43.773471428571426,425.67569456615263,9.724513059485371
LIPF,2.9447367346938766,28.59804882979282,9.711580832629428
VSX2,1.7166234693877558,16.639304312100332,9.693042538929543
AC093001.1,10.463676530612249,101.398815832103,9.690553366730457
MIR548H3,1.2468306122448978,12.065770234854062,9.677152707319115
AC008808.2,2.5483367346938777,24.616269052432152,9.65973951452268
GCG,1.7468765306122447,16.86490986347861,9.654322768631966
AP002856.3,1.142354081632653,11.022092942065944,9.648578421773715
AC021534.1,1.6410979591836734,15.70418772060221,9.569317683152747
AC131211.1,1.243487755102041,11.789002120806687,9.480593654771678
NSG2,3.171894897959182,30.044054398675822,9.471957730379517
AC098592.2,1.488518367346939,14.070911596186665,9.452964709643426
EPHA5,1.3507020408163264,12.747146843837106,9.437423250010852
SPINK4,62.405341836734685,588.0991502570255,9.423859127246107
TM4SF20,2.4682724489795915,23.256094780210635,9.42201286969959
ACTN3,1.6862602040816321,15.837536436220317,9.392107100603567
LINC02404,1.0821091836734698,10.075482819364877,9.310966925870938
FAM9C,1.0490795918367346,9.718675252634855,9.26400182432235
AC243972.2,1.2452806122448978,11.52912787943398,9.258256947123058
WFDC12,36.009496938775506,331.1502771404813,9.19619281834216
RNU7-119P,1.2026336734693879,11.056106871928003,9.193245720480343
C8A,4.473497959183674,41.092715155398004,9.185812876261291
IGF2,15.68908979591837,144.0665550645253,9.182594843838885
RNY4,1.3709489795918368,12.573762093181452,9.171575514739397
PRB4,2.235991836734694,20.404389709350948,9.125431217650721
SEZ6,2.0455091836734702,18.662661931219432,9.123724342172691
PAGE2,14.280241836734692,129.87371333034153,9.094643831328723
FOXI1,1.7362959183673474,15.732245928533517,9.060809140947974
RNVU1-2,8.15925,73.2768016739412,8.980825648673738
AC098592.1,2.9494306122448974,26.453485281618867,8.969014280856179
CYP1A1,6.046751020408162,54.21900768581136,8.966634727115244
SNORD74B,1.118268367346939,9.96819967992646,8.913960164656844
CGA,7.001845918367348,62.26703171210693,8.892945151615963
AL157402.2,1.938764285714286,17.2404184107576,8.892477820946565
TAC3,4.924665306122448,43.702684963182236,8.874244694121677
SLC7A3,2.5117193877551016,22.251422726354814,8.859040080206753
RNU2-59P,2.0356306122448977,18.004253852533736,8.844558410663026
PAGE1,3.766295918367348,33.24713305680183,8.827541376837466
TNMD,4.062625510204082,35.82147640937895,8.817321783513217
AL079338.1,2.4303214285714287,21.405960977492892,8.80787237681378
CASP14,2.583041836734694,22.655802835367272,8.77097788861492
AZGP1P1,1.1854081632653064,10.391358283676222,8.766059325129289
AF178030.1,1.9506459183673468,17.037286914198976,8.734177101941114
AC009630.4,1.9830581632653064,17.27206129252579,8.709810742053874
AC079466.1,1.1210489795918368,9.738947778937684,8.687352610127295
AL135929.1,1.0193561224489796,8.836056108490077,8.668271974726219
LCN15,1.9642214285714286,17.020822721264427,8.665429708525078
TRAJ21,2.2115357142857146,19.135026220144525,8.652370430438555
PCDH8,2.157140816326531,18.631102333761692,8.636943027896175
SNORD56B,1.5410602040816326,13.30153129554406,8.631415735941912
CHGA,22.17479183673469,190.7357181066713,8.601466002972758
MIR548AQ,1.7741163265306126,15.227352914008788,8.583063402492192
NKX2-4,1.7078346938775506,14.646709557743232,8.576186916831297
RNU2-23P,1.1801469387755104,10.116199702530855,8.571983174423313
AL135929.2,3.074713265306123,26.34449059144648,8.568112964778713
NTS,160.16071734693878,1370.869633730081,8.55933749822383
LRRC37A7P,1.8550816326530601,15.865849597736949,8.552642276472909
RNU6-1327P,1.8838469387755101,16.064095787826165,8.527282900312345
AC000061.1,3.302108163265306,28.153993825258894,8.526066510619287
MIR603,1.0505887755102044,8.937979495041944,8.507590889405167
RNU7-124P,2.7911020408163267,23.741045597306744,8.505975507209723
AC010359.1,1.426076530612245,12.092935552924091,8.479864364454787
TRAJ14,2.14265612244898,18.141342977072185,8.466754318157816
RNU6-681P,2.682756122448979,22.69870411467082,8.460964425625875
AL512604.1,1.4732765306122453,12.460335334525508,8.457567249338727
RNU1-2,1.8446724489795918,15.58816091263171,8.4503679345645
AC117465.1,1.180202040816327,9.962945052729498,8.441728372066098
TRAJ30,1.0626173469387756,8.961410507833135,8.433337300251566
PHKBP2,1.2557581632653059,10.587582445116977,8.431227249669188
TFF2,181.8095826530612,1528.9275763332535,8.409499400539492
IGHD7-27,2.50969693877551,21.09222531398643,8.404291764517751
SNRPGP18,2.1089234693877548,17.669296206363356,8.37834869915548
TRAJ29,1.3560897959183675,11.354879853640744,8.373250715267732
RNU7-80P,1.218037755102041,10.189769737921408,8.365725688911638
RNU6-789P,1.1431214285714284,9.554256802606613,8.358041905090236
MIR151A,1.0313081632653063,8.607432616690097,8.346130597315767
AC091925.2,1.140214285714286,9.48538664146825,8.318950885206757
FER1L6,3.7467948979591825,31.15973305649182,8.316370099004889
ATP11A-AS1,1.0407806122448977,8.65244513856088,8.31341882887125
