gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
CA4,-4.320155846507248,1.3965558750600002,5.716711721567248,-21.536182377471704,4.8281142194589935e-39,98,50,7.872619301646772e-37,4.320155846507248,DOWN
TNNC1,-4.202467532908482,3.499001225952183,7.701468758860665,-25.67139760826299,1.9106032591035524e-53,98,50,2.899707869393315e-50,4.202467532908482,DOWN
SPP1,4.186760853622476,8.212882262000669,4.026121408378192,13.215531147688585,9.71099827906065e-26,98,50,2.0985541735582325e-24,4.186760853622476,UP
RTKN2,-4.166215533309559,2.262062113557622,6.428277646867182,-24.961811716327134,5.724168210411314e-48,98,50,3.894408234186732e-45,4.166215533309559,DOWN
CLEC3B,-4.153889590069036,3.262730202853554,7.41661979292259,-25.61290956998982,1.0159462023434412e-54,98,50,2.227179841359566e-51,4.153889590069036,DOWN
SPINK1,4.149161713693751,5.938913634528845,1.7897519208350945,10.966940336293888,1.494133618440711e-20,98,50,1.7953262053492828e-19,4.149161713693751,UP
CYP4B1,-4.143355366770064,4.828229661456159,8.971585028226222,-15.24859874140069,1.1999777288345928e-30,98,50,4.8121058109566086e-29,4.143355366770064,DOWN
AQP4,-4.13904522264868,4.389396070974413,8.528441293623093,-18.199302897710226,1.0045525596063966e-34,98,50,8.21407378404116e-33,4.13904522264868,DOWN
CLIC5,-4.133426325592765,2.8870117809268696,7.020438106519635,-26.616059557667366,3.1911796138195744e-57,98,50,1.574049344516505e-53,4.133426325592765,DOWN
VEGFD,-4.109412327777721,2.1782261722410627,6.287638500018784,-21.854400742584463,8.663777480053288e-48,98,50,5.514075151014561e-45,4.109412327777721,DOWN
INMT,-4.077648150713278,3.8724774020574,7.950125552770678,-20.734824904985842,2.69593200836712e-45,98,50,1.1317178409592188e-42,4.077648150713278,DOWN
CAV1,-4.059556265520968,6.17992446371575,10.239480729236718,-25.413784093219554,1.280860057051962e-52,98,50,1.805097780402515e-49,4.059556265520968,DOWN
