swi_snf_gene,prc2_gene,mean_prc2_swi_dep,mean_prc2_swi_nodep,delta,t_stat,p_value,n_dep,n_nodep,fdr
SMARCD1,EZH2,-0.15449128223547667,-0.054023420623094766,-0.10046786161238191,-7.549125041964229,9.268960416092804e-14,272,814,1.186426933259879e-11
BRD9,EZH2,-0.14624546224236218,-0.05677878062079394,-0.08946668162156823,-6.686214734843128,3.659294786407667e-11,272,814,2.341948663300907e-09
SMARCD1,EED,-0.3557526207261656,-0.23846698755785378,-0.11728563316831181,-6.215466805826779,7.287510495661438e-10,272,814,3.109337811482213e-08
SMARCD1,SUZ12,-0.4149799097612275,-0.32115318399378906,-0.09382672576743845,-5.885048430149093,5.299144411405238e-09,272,814,1.6957262116496761e-07
BRD7,JARID2,-0.08277189162604118,-0.041218757519207117,-0.04155313410683406,-5.766069016153219,1.057373187485008e-08,272,814,2.7068753599616205e-07
BRD9,EED,-0.3393863646862363,-0.2439358102149309,-0.09545055447130538,-5.0281676683034275,5.790895958880145e-07,272,814,1.2353911378944308e-05
SMARCD1,RBBP7,-0.05085548032697433,-0.11296890860435456,0.06211342827738023,4.986776706673913,7.149773788571719e-07,272,809,1.3073872070531141e-05
SMARCA4,SUZ12,-0.4032184621286722,-0.3250832991732178,-0.07813516295545436,-4.877011983399206,1.2380063400184877e-06,272,814,1.9808101440295804e-05
BRD7,RBBP7,-0.054686573428491224,-0.11161046458115895,0.05692389115266772,4.556038086388349,5.806848540906557e-06,271,810,8.258629035955992e-05
BRD9,SUZ12,-0.3986073970375613,-0.32662409733634085,-0.07198329970122047,-4.485589244409197,8.046113387848632e-06,272,814,0.0001029902513644625
SMARCA4,EED,-0.3289786962322535,-0.24741355692191283,-0.08156513931034068,-4.283253912107229,2.005182894592469e-05,272,814,0.00023333037318894187
BRD9,RBBP7,-0.05740017306554844,-0.11070258124579782,0.05330240818024938,4.261137828570144,2.2115074250391813e-05,271,810,0.00023589412533751267
SMARCA4,EZH2,-0.11850174236452497,-0.06604940937604176,-0.052452332988483216,-3.8679841512660604,0.0001162754634041935,272,814,0.0011448661012105207
BRD7,EZH1,-0.07147076113963188,-0.09183799150455478,0.020367230364922898,3.5024188217203833,0.0004798387673937553,272,814,0.0043870973018857624
SMARCD1,EZH1,-0.07251305115730537,-0.0914897078622855,0.018976656704980124,3.2608584960353357,0.0011453371707447176,272,814,0.00977354385702159
SMARCE1,EZH2,-0.11132337775577417,-0.06844807666545234,-0.042875301090321824,-3.1545310561706668,0.00165179635474927,272,814,0.01321437083799416
SMARCB1,EZH2,-0.10969601363690931,-0.06899186418428681,-0.040704149452622504,-2.993433556466668,0.002821109519499335,272,814,0.02061006456752771
ACTL6A,AEBP2,-0.006169459987248407,-0.028354099523739486,0.02218463953649108,2.985118476168011,0.0028982903298085845,272,814,0.02061006456752771
SMARCC2,EED,-0.22614173029246462,-0.2817767691278374,0.05563503883537277,2.9084473251592606,0.0037063686971226875,272,814,0.024969220696405472
BRD9,EZH1,-0.07429098412443487,-0.0908956074113528,0.016604623286917933,2.849985380211445,0.0044549282317184,272,814,0.02851154068299776
