cancer_type,cell_type,hazard_ratio,p_value,ci_lower,ci_upper,significant,direction
BRCA,CD8_T_cells,0.7409871577079298,0.2040483412803893,0.4665609553316109,1.1768279398729957,False,protective
BRCA,CD4_T_cells,0.6036455666782368,0.07695060509722279,0.3450267174511893,1.0561152274297114,False,protective
BRCA,T_regulatory,0.3475550491667614,0.00435545614339354,0.16807972316475356,0.718673912158374,True,protective
BRCA,NK_cells,1.0516042185330123,0.8212676472542717,0.6796239591244804,1.6271813516713811,False,risk
BRCA,B_cells,0.9057804323758701,0.6256265152679299,0.6086603420216659,1.3479409368941833,False,protective
BRCA,Macrophages_M1,1.8393898370573667,0.16185353732663033,0.7831349265700078,4.320270821642985,False,risk
BRCA,Macrophages_M2,1.890762243380485,0.02317502010574282,1.0910370325150271,3.2766824172340496,True,risk
BRCA,Dendritic_cells,1.0090164844913012,0.9704948669760276,0.6270909166456989,1.623551288896137,False,risk
BRCA,Neutrophils,2.1151831473302987,0.012767334398262793,1.1729390431782551,3.814349750543841,True,risk
BRCA,Mast_cells,2.0534109452731095,0.014849121797563659,1.1509780789400366,3.663402967718097,True,risk
BRCA,Exhaustion,0.6061323330995173,0.05272451752539613,0.36523845501910074,1.0059083324329872,False,protective
BRCA,IFN_gamma,0.3783890660629958,0.0028995065226676553,0.19960805922326258,0.717297116525143,True,protective
LUAD,CD8_T_cells,0.9833721746687223,0.925964812268746,0.6904329510917665,1.4006006410666858,False,protective
LUAD,CD4_T_cells,0.8535503631126766,0.39767625022360753,0.5913752116369195,1.2319559698032818,False,protective
LUAD,T_regulatory,1.0692624869939367,0.7220304033626535,0.7393430003558095,1.5464030437053353,False,risk
LUAD,NK_cells,0.9834367150503314,0.9291819603943547,0.6804265858671054,1.4213844558652815,False,protective
LUAD,B_cells,0.937678927590972,0.7205258653141966,0.659102652880961,1.3339982283563243,False,protective
LUAD,Macrophages_M1,0.8827445946742587,0.5908653892331264,0.5602165168628737,1.3909586668208829,False,protective
LUAD,Macrophages_M2,0.8169290541303047,0.25637274222653395,0.576157908497658,1.158316269965679,False,protective
LUAD,Dendritic_cells,0.8530871819801131,0.4316399113760748,0.5741218898036865,1.2676014501164865,False,protective
LUAD,Neutrophils,0.8513086723870941,0.3655420805785331,0.6006921441466613,1.20648565616089,False,protective
LUAD,Mast_cells,0.7044231103916324,0.030505614350047085,0.5128380019850578,0.9675802427533047,True,protective
LUAD,Exhaustion,0.9917067743327862,0.9696915942250841,0.645380741457547,1.5238792592980295,False,protective
LUAD,IFN_gamma,1.186146022495301,0.36023258887340126,0.8228448009240202,1.709851462999445,False,risk
KIRC,CD8_T_cells,1.0040968376386012,0.9846280336315502,0.6624468388427962,1.5219492346239363,False,risk
KIRC,CD4_T_cells,0.7419813472557534,0.20387222519661108,0.4682385303409728,1.1757603956140914,False,protective
KIRC,T_regulatory,1.0218699782932024,0.9332853049801965,0.615763878999339,1.69580952723937,False,risk
KIRC,NK_cells,0.8404241383939347,0.5213348003679369,0.4940197418550488,1.4297257225854507,False,protective
KIRC,B_cells,0.7703694075796244,0.30424444342474877,0.4683279108824661,1.267208317813715,False,protective
KIRC,Macrophages_M1,0.5840057319834859,0.12755517968263566,0.29240010325494314,1.1664246735651636,False,protective
KIRC,Macrophages_M2,0.6485497994354744,0.10983426146129308,0.3814391017823299,1.1027103419193274,False,protective
KIRC,Dendritic_cells,0.6861781788634747,0.16647882546638224,0.4024757940666776,1.1698603992825247,False,protective
KIRC,Neutrophils,0.889816652146948,0.6729124642293469,0.5175051234351313,1.5299822911555205,False,protective
KIRC,Mast_cells,0.6245044672146437,0.06582400573037922,0.378177343143398,1.0312776178745402,False,protective
KIRC,Exhaustion,0.9898925019147483,0.9666562249179818,0.614790076667587,1.5938565089703924,False,protective
KIRC,IFN_gamma,0.7554225790414572,0.23855970513779304,0.4738314184069542,1.2043592947978126,False,protective
