gene,sl_n_drivers,sl_drivers,deg_cancers_up,deg_cancers_down,deg_max_log2fc,deg_min_fdr,n_approved_drugs,n_total_drugs,is_druggable,top_drugs,dep_auc,n_dependent_lines,sl_max_lineages,sl_is_universal,composite_score
PSMA4,2,"VHL, BRCA2",0,0,0.0,1.0,0,0,False,,0.5,0,4,True,0.25
CD274,0,,0,1,1.034242501547348,6.28838424020727e-08,9,27,True,"NIVOLUMAB, DURVALUMAB, AVELUMAB",0.5,0,0,False,0.2466666666666667
PLK4,0,,2,0,1.3377562627317752,1.2545421334675127e-22,0,0,False,,0.5,0,3,True,0.24583333333333332
FEN1,0,,2,0,1.4285132981222768,3.397586851816417e-26,0,0,False,,0.5,0,3,True,0.24583333333333332
CCNA2,0,,2,0,2.28440773653773,1.6006485978840146e-29,0,0,False,,0.5,0,3,True,0.24583333333333332
AURKB,0,,2,0,2.614369180454576,2.1935044843977215e-32,0,0,False,,0.5,0,3,True,0.24583333333333332
AKT1,0,,0,0,0.0,1.0,17,71,True,"EVEROLIMUS, DESIPRAMINE, NELFINAVIR",0.6136150234741784,16,0,False,0.24544600938967137
NRAS,0,,0,0,0.0,1.0,52,132,True,"IRINOTECAN HYDROCHLORIDE, CISPLATIN, DABRAFENIB",0.6135450024395257,63,0,False,0.2454180009758103
HDAC1,0,,0,0,0.0,1.0,9,52,True,"DAUNORUBICIN LIPOSOMAL, ROMIDEPSIN, PANOBINOSTAT",0.6369088994207478,30,0,False,0.23476355976829916
ORC6,2,"EGFR, MYC",2,0,1.7748016472022885,5.5998154830954406e-34,0,0,False,,0.5,0,0,False,0.23333333333333334
MDM2,0,,0,0,0.0,1.0,4,26,True,"IPILIMUMAB, CISPLATIN, PEMBROLIZUMAB",0.8813810133942586,327,0,False,0.23255240535770344
TWNK,1,KRAS,1,0,1.074428556914106,6.3162862180202296e-21,0,0,False,,0.5,0,3,True,0.22916666666666666
GAPDH,1,ERBB2,1,0,1.4557010956036684,9.582919896236476e-27,0,0,False,,0.5,0,3,True,0.22916666666666666
ITGAV,3,"PIK3CA, VHL, KEAP1",0,0,0.0,1.0,0,0,False,,0.5,0,2,False,0.22499999999999998
HNRNPH1,3,"KRAS, EGFR, CTNNB1",0,0,0.0,1.0,0,0,False,,0.5,0,2,False,0.22499999999999998
GGPS1,3,"ERBB2, APC, BRCA2",0,0,0.0,1.0,0,0,False,,0.5,0,2,False,0.22499999999999998
NPM1,0,,0,0,0.0,1.0,6,7,True,"MIDOSTAURIN, CERITINIB, CRIZOTINIB",0.7475094806509281,1044,0,False,0.21900379226037126
PPP4C,0,,1,0,1.2408421891583936,4.667877587606952e-24,0,0,False,,0.5,0,4,True,0.21666666666666667
SEPHS2,3,"EGFR, ERBB2, CTNNB1",1,0,1.0771881366200704,1.0279379414762651e-20,0,0,False,,0.5,0,0,False,0.21666666666666667
PKMYT1,0,,2,0,2.4138956628698187,3.6389619919892576e-33,0,0,False,,0.5,0,2,False,0.20833333333333331
TICRR,0,,2,0,1.0950912995215172,1.5063677927504605e-23,0,0,False,,0.5,0,2,False,0.20833333333333331
H2AC8,0,,2,0,1.7205065430123785,3.82527791158458e-12,0,0,False,,0.5,0,2,False,0.20833333333333331
HSPE1,0,,2,0,1.0932815726422185,1.8094695863138662e-24,0,0,False,,0.5,0,2,False,0.20833333333333331
ZWINT,0,,2,0,2.3996070122543283,2.09277402149038e-33,0,0,False,,0.5,0,2,False,0.20833333333333331
SLC7A5,0,,2,0,2.018987831139562,5.858164240978621e-23,0,0,False,,0.5,0,2,False,0.20833333333333331
ERCC6L,0,,2,0,1.6694176114666548,2.78664810210466e-31,0,0,False,,0.5,0,2,False,0.20833333333333331
ECT2,0,,2,0,1.7175566342445814,2.557751404308946e-25,0,0,False,,0.5,0,2,False,0.20833333333333331
AKR1B15,0,,1,1,1.6209856632383943,9.779695593339482e-10,0,0,False,,0.5,0,2,False,0.20833333333333331
RCC1,0,,2,0,1.6092709754623566,7.117030250344936e-36,0,0,False,,0.5,0,2,False,0.20833333333333331
CEP55,0,,2,0,2.664299866803616,6.703230750127867e-35,0,0,False,,0.5,0,2,False,0.20833333333333331
RILP,0,,0,2,1.07964514365388,8.97573297626992e-23,0,0,False,,0.5,0,2,False,0.20833333333333331
HMGB3,0,,2,0,2.848450984452617,1.9595458692223895e-31,0,0,False,,0.5,0,2,False,0.20833333333333331
TONSL,0,,2,0,1.5928008569745349,1.656194386763447e-27,0,0,False,,0.5,0,2,False,0.20833333333333331
CKAP2L,0,,2,0,2.0050550968599694,9.510978703952805e-30,0,0,False,,0.5,0,2,False,0.20833333333333331
KRT18,0,,2,0,2.103875076510022,4.577919999352745e-16,0,0,False,,0.5,0,2,False,0.20833333333333331
MCM4,0,,2,0,1.8929864366280844,4.207869115056435e-31,0,0,False,,0.5,0,2,False,0.20833333333333331
RHEB,1,BRCA2,0,0,0.0,1.0,0,0,False,,0.5,0,4,True,0.2
RB1,0,,0,0,0.0,1.0,21,36,True,"PALBOCICLIB, TOPOTECAN HYDROCHLORIDE, RIBOCICLIB",0.5,0,0,False,0.2
JAK2,0,,0,0,0.0,1.0,32,98,True,"PEMBROLIZUMAB, TOFACITINIB, RUXOLITINIB",0.5,0,0,False,0.2
ESR1,0,,0,0,0.0,1.0,109,216,True,"ESTRIOL, ERIBULIN MESYLATE, DIETHYLSTILBESTROL DIPHOSPHATE",0.4343457943925234,11,0,False,0.2
ABL1,0,,0,0,0.0,1.0,66,143,True,"AZACITIDINE, BOSUTINIB, TIZANIDINE HYDROCHLORIDE",0.5,0,0,False,0.2
MRPL23,1,KRAS,0,0,0.0,1.0,0,0,False,,0.5,0,4,True,0.2
RARS1,1,BRCA2,0,0,0.0,1.0,0,0,False,,0.5,0,4,True,0.2
