,CD8_T,CD4_T,B_cells,NK_cells,Macrophage,Dendritic,Treg,Exhaustion,IFN_gamma
TCGA-B8-4146,1.7138593919056255,0.24527975470729946,-0.1301370796917378,0.3522662171960089,0.8407698886648318,0.1288155257350798,0.7532589945888014,0.7226397750914596,3.0383429634586827
TCGA-BP-4977,-0.35506700228252275,0.1286777065909871,-0.41121822638589417,0.060250554187359334,0.1066495531327073,-0.17047221074584007,0.00026702784698563465,-0.07147537761777821,-0.3052591103485431
TCGA-BP-4981,-0.2929767014784257,-0.43129850419848403,-0.4636292668323116,-0.01816565644589545,-0.5697253865763117,-0.44608431608167726,-0.40511063239440387,-0.46770370459128,-0.32560846124523785
TCGA-CJ-5675,2.8145385272564765,0.35314791801300194,-0.16762913128290388,0.893451714740891,0.39457456136339936,0.058190743125473475,0.5130255510473933,2.7927435002693053,2.061733404136312
TCGA-B0-4845,-0.5113667761870685,-0.08133254084462567,-0.2376373315728081,-0.4440341191336654,-0.49568345911907813,-0.31084029088413406,-0.367695173298087,-0.5160018130796961,-0.49423259744194575
TCGA-B4-5377,0.13567210616633701,0.3199027707827766,-0.32228547717875294,-0.27138555278546667,0.7405316228920479,0.6348702488895636,0.10799625320883399,0.019805280570592027,0.3753524895684293
TCGA-B8-5163,0.9597252793082998,3.1305339627441895,-0.11389424776693922,0.503993021693058,2.1700424254260677,-0.03858860820840603,1.8512894106109878,0.7976008205070664,1.5855986382612193
TCGA-B0-5092,2.031075626792486,1.458130019102131,-0.2661299499493518,0.8394396214398231,-0.38170181532773,0.014173941946325708,2.0405321725244,2.5561854875793717,1.4662837099347035
TCGA-AK-3458,0.11882791286781146,-0.43700881747590964,-0.07644234904583154,1.907402423278347,-0.594155307571987,0.9564965435309433,-0.14770720325598755,-0.2723685911436828,-0.30192146777807166
TCGA-BP-4161,0.9292558899348587,0.9933214701099827,0.20874462235715371,1.1971494762267536,1.0800414957153406,0.35603361564291863,1.0668323836638205,0.8270476414809997,1.3381044765257446
TCGA-BP-4769,-0.5515211463410024,-0.5101993367453669,0.1800240435293785,-0.682481089698574,-0.6932732627380594,-0.08181948409208167,-0.40681982283318463,-0.6815859970849306,-0.370677309838729
TCGA-CJ-4887,0.8525529841766581,0.12370213803416708,-0.2698770543528041,0.42538759535612575,0.07440908154235638,0.14871629974163567,0.21566680783522468,0.8387961706837177,0.6385453007214962
TCGA-B0-4833,0.3176954701323297,-0.22741469018919633,-0.29602815197533117,0.8956159971429205,-0.3382135942783013,-0.12409080531902965,0.37649467695224714,0.34746811041118203,0.04906435259411073
TCGA-BP-4167,0.5178329549537187,1.108084291911434,-0.22417934925696137,0.7733273030167443,0.3365145223760028,0.04992822272038374,0.4917956900295157,0.3201528318160347,0.22948362118852247
TCGA-A3-3323,-0.06353752465495682,0.8246191114807861,0.059032966976561095,0.6371385426742998,0.9317084130858303,0.04061930365297433,0.7957767173162352,-0.07066449537422005,0.1467986197449502
TCGA-B8-5158,0.08069447409742334,0.3904779051271912,-0.3675434819574812,-0.27731680928106067,2.628160657472899,1.0776530040411207,0.10760238659327212,-0.07287799337767269,0.35036225018983774
TCGA-B0-5713,0.13799029476207708,-0.4205668623228738,-0.2937839745480562,0.8456236547952994,-0.39995932881468277,-0.17527461538609426,-0.3303465159354353,-0.36577378769338614,0.5553905774715523
TCGA-CJ-5672,0.976426743407094,0.19516841306326324,-0.07999951107501402,0.42632273873552123,0.3716857033808756,0.14049833720668484,0.28276583444210396,1.3530688505303168,0.9595648507745106
TCGA-B0-5084,-0.5046143189227142,-0.6542671270228212,-0.2402662221064886,-0.7241856035140417,-0.34218021001722226,-0.4728730728886917,-0.4933762575307828,-0.5180817461752227,-0.16378595077167393
TCGA-CZ-5452,1.5863530577227305,1.6195642505394423,0.7850779528617277,0.5937780848012791,-0.017883961101223034,0.28189343056580335,1.20335089685686,1.5728047893436117,1.5040587990603587
TCGA-B8-A54G,2.9109287574002156,1.5864924743828495,-0.1487583935771404,1.5611980550686526,1.1181381262887997,0.9988184381262145,2.937127821655223,3.5250692061484625,2.782126128422057
TCGA-B0-5110,-0.178323632214634,0.33438241032920707,-0.16467525849412126,0.43021334161486274,0.5898392330901358,0.8117263705838145,0.38345305377468253,-0.38180749822342835,0.08553510148157915
TCGA-CW-5591,-0.49600249576666516,-0.442503980789078,-0.12348099347752634,-0.5402086023771746,0.21188810180817805,0.37079280199964043,-0.37712853380098654,0.13268178735106168,-0.37761788400803764
TCGA-BP-4330,1.3085762669466137,1.2598542897927387,0.8854577728295588,1.5151991080789953,0.5135623190598901,0.3474591809494782,0.9743901772359779,1.3148546744900416,1.316734606438
TCGA-DV-5574,0.31287655143962156,0.49016398250141885,0.4732573288908481,0.5455424969055546,1.237286023298304,0.3185197910091489,0.1465913103308911,-0.16046924914010705,0.2093078557673867
TCGA-BP-5199,2.7586222634397277,1.1582750158382533,-0.046675216651905445,1.4870217446736405,-0.17252512421096822,0.48989243034260893,1.8379535880531772,2.6757923696375996,1.8372810799767127
TCGA-B0-4707,-0.27778960922107115,-0.4534993116852528,-0.3406558272484484,-0.13872170751510524,-0.801265526969522,-0.4507731171082601,0.046564083082689,-0.13774426230450387,-0.642759336402184
TCGA-CZ-4854,-0.3030953061226456,-0.09199855135071504,-0.08723913812032079,0.7240484007548845,-0.024429109992612292,-0.35854930082804914,-0.1582501938463611,-0.3582004993836838,-0.3103703774925785
