,CD8_T,CD4_T,B_cells,NK_cells,Macrophage,Dendritic,Treg,Exhaustion,IFN_gamma
TCGA-86-8358,0.021433395995269007,-0.4661092158418732,0.44932008858393574,-0.17474691279932061,-0.7862617588269769,-0.4674920187225707,-0.11201302256061933,1.0189055060757912,-0.23613231515912855
TCGA-86-A4D0,-0.304704043734099,-0.6422661527904335,-0.5191859902206192,-0.43166318251045266,-0.7968722521015779,-0.6238458279001072,-0.26007431523878444,-0.3165411498852145,-0.5799612808488354
TCGA-73-4666,3.3331959545086516,0.9208080535585627,-0.6636573637230313,2.047088991740559,1.2269130239350696,0.5255271608484785,1.6570399058060974,2.1057918924582646,2.382747077531327
TCGA-NJ-A4YQ,0.6645584039473125,0.41952656534852517,2.6290601020405346,0.24422117407603486,-0.6556679686551613,-0.5256293060431698,0.31068755168132933,0.7578602715957862,0.25172162413652066
TCGA-86-7714,-0.7231043279072608,-0.170978342885761,-0.19326446330466615,-0.6010909646315529,-0.14324446572687108,2.7687645874899864,-0.10530536137326715,-0.3720186475472967,-0.48549331461942874
TCGA-91-8499,0.32113964031459036,-0.5391276384275205,0.06256513102800117,-0.29787362899678826,-0.7141607813624188,-0.5170470274713785,-0.07393479212069537,0.11633604586360258,0.2486733321138806
TCGA-55-7227,-0.15301446838214977,0.7797878355273262,-0.150285194660192,-0.2515894462092348,-0.21741278963399271,0.5483575123618815,0.7420665391959679,0.5152785346771381,0.15860243090003273
TCGA-78-7158,-0.6359825705647723,-0.7027306797304268,-0.6999031392208314,-0.8684208126221157,-0.6406025801189207,-0.5210280266397705,-0.45843986913491647,0.525627826840595,-0.546116835000409
TCGA-62-A46Y,-0.09753588282443793,-0.19543869461769345,0.16142326550489505,-0.3591499305147714,-0.0969335843999703,0.5623365705014313,0.22051424349746326,0.08446966599968575,-0.06736463746013463
TCGA-97-A4M3,-0.7449392814085701,-0.7065002162326531,-0.6209613537612241,-0.8235202070555031,-0.8496889751518775,-0.5109980863132645,-0.5732800199443738,-0.7562220360013397,-0.6369706541137349
TCGA-L9-A7SV,-0.5768093331534723,-0.7363198883983119,-0.47706804923601015,-0.8171497016654804,-0.8397671496204474,-0.7807001893269749,-0.0337125537045467,-0.48322364682048446,-0.6363877359268527
TCGA-49-AAR3,1.9149999855123536,0.28930725323895284,0.3621381947805,0.5806624799116672,-0.10458340083849817,-0.5162485309513231,0.9024770264166018,1.3327234313851413,1.8882734183902383
TCGA-73-4662,-0.28123019905288843,0.9458002233013142,1.0437027485932093,-0.490578606877552,-0.32481329618640326,0.5851557930830035,0.9354824634607833,0.49184623110935766,-0.3221515933023201
TCGA-97-A4M5,-0.3366710537240874,-0.022554429957200976,0.16935184555946767,0.045405763219196475,-0.1068976921009736,-0.22479648319239576,0.016162190504287865,-0.27708323893460385,-0.408676014184392
TCGA-97-7547,-0.6432198519640657,-0.25925819319966903,0.2875699737552168,-0.7354852864177285,-0.5750246832700698,-0.2029417482539506,0.0572672599907099,-0.47020759300600273,-0.5061908843789744
TCGA-44-6145,1.2209039102790433,0.302106368639129,1.450866596788888,1.275274573019548,-0.30610375274452006,-0.3853940049202747,0.5555886199567035,1.0616596205068338,1.0069853836402718
TCGA-35-5375,0.21104700640144564,-0.709299436422258,-0.07503116825692345,-0.16276413451815952,-0.8476460067478131,-0.5528534295467226,-0.3566335831648284,-0.23077307106266787,0.052675276749656476
TCGA-49-4486,-0.740310343542481,-0.9948361212701746,-0.7067847177648753,-0.7465292973084181,-0.9316910235231589,-0.7854248733855616,-0.6546618044194681,-0.9132557616979602,-0.757085603636904
TCGA-62-8399,-0.41044544566898133,-0.6064467743325993,-0.593267454291468,-0.3417304291629561,-0.5360345959667786,-0.23322092517335258,-0.1932316861837293,-0.6618791964670151,-0.411397974236274
TCGA-80-5611,0.40899507819224196,0.25335083734675345,-0.13067787571552206,-0.10074602108446529,0.2360469859045414,-0.42963138222671376,0.4397594574408525,0.29204907879650116,1.8778638716295712
TCGA-86-8281,-0.6406647946334436,-0.4382245591475633,0.13361291434498868,-0.45586448503016763,-0.7578342025398714,-0.3668002378428779,-0.3593835698212929,-0.5976073734659183,-0.7169627674358744
TCGA-69-A59K,-0.22290258732419257,-0.18819574701874484,0.5655911939139954,-0.08281984921306935,-0.4297982064844636,-0.04783946542980155,1.1330347416541953,0.21720995302697363,-0.21265976615084595
TCGA-44-3918,1.241624848017749,0.12729790623784473,0.05408371597253953,2.370652995212503,-0.5285097678770861,0.8032599446844718,2.088006629155169,1.004195314170482,1.9767926324956295
TCGA-44-4112,-0.37023951633641156,-0.5472270412588022,-0.41313124645746524,-0.35347565668154174,-0.4386280916678558,0.10456032564181013,0.3019095776380616,-0.5815935139545428,-0.22809085234804768
TCGA-MP-A4T9,-0.36438639468567635,0.616419527717808,-0.10659725609621763,-0.2515803512866985,-0.06851210190426045,0.04742749830916398,0.3894318013848474,0.37384790773240145,-0.41340192788145264
TCGA-67-3772,-0.44203413933151575,-0.390718011011278,0.2499550543061441,-0.5355546567467243,-0.5710473062307587,-0.040436606429238874,-0.3199270343214696,-0.4168203815911658,-0.18272275495555437
TCGA-44-8117,-0.30207292544050035,-0.5770168313467297,-0.59365218995655,-0.6129071858075228,-0.5642589585826128,-0.29300416859234674,-0.10339833864866357,-0.34889578178535835,-0.3602920579641787
TCGA-55-8208,0.9456575376602158,0.7453494800059093,2.0580421099960744,0.4330162492363098,0.014662035914530655,0.0019068866818224932,0.7609624848027583,1.051699605226881,1.0025354182379032
