source_lineage,target_lineage,n_sl_pairs_tested,n_transferred,transfer_rate
upper_aerodigestive,blood,316,50,0.15822784810126583
upper_aerodigestive,colorectal,256,24,0.09375
upper_aerodigestive,lung,391,53,0.13554987212276215
upper_aerodigestive,skin,316,74,0.23417721518987342
upper_aerodigestive,breast,256,17,0.06640625
upper_aerodigestive,pancreas,131,12,0.0916030534351145
upper_aerodigestive,central_nervous_system,316,30,0.0949367088607595
upper_aerodigestive,bone,335,33,0.09850746268656717
upper_aerodigestive,lymphocyte,260,34,0.13076923076923078
upper_aerodigestive,kidney,391,50,0.1278772378516624
upper_aerodigestive,liver,131,5,0.03816793893129771
liver,ovary,181,15,0.08287292817679558
liver,blood,104,4,0.038461538461538464
liver,colorectal,77,12,0.15584415584415584
liver,lung,181,10,0.055248618784530384
liver,skin,104,5,0.04807692307692308
liver,breast,181,8,0.04419889502762431
liver,pancreas,181,11,0.06077348066298342
liver,central_nervous_system,104,1,0.009615384615384616
liver,bone,77,15,0.19480519480519481
liver,lymphocyte,104,9,0.08653846153846154
liver,kidney,181,10,0.055248618784530384
liver,upper_aerodigestive,77,5,0.06493506493506493
